C:\Users\1027k>atlas metrics processes  testcluster-shard-00-02.hhn0w.mongodb.net:27017   --start 2024-01-19T00:00:00Z  --end 2024-01-19T02:00:00Z --granularity PT5M
NETWORK_BYTES_IN                               BYTES_PER_SECOND     2024-01-19 01:39:12 +0000 UTC         3832.8093
NETWORK_BYTES_OUT                              BYTES_PER_SECOND     2024-01-19 01:14:12 +0000 UTC         31461.68
NETWORK_BYTES_OUT                              BYTES_PER_SECOND     2024-01-19 01:19:12 +0000 UTC         24991.873
NETWORK_BYTES_OUT                              BYTES_PER_SECOND     2024-01-19 01:24:12 +0000 UTC         23824.072
NETWORK_BYTES_OUT                              BYTES_PER_SECOND     2024-01-19 01:29:12 +0000 UTC         24992.018
NETWORK_BYTES_OUT                              BYTES_PER_SECOND     2024-01-19 01:34:12 +0000 UTC         24373.988
NETWORK_BYTES_OUT                              BYTES_PER_SECOND     2024-01-19 01:39:12 +0000 UTC         24477.086
NETWORK_NUM_REQUESTS                           SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         18.106304
NETWORK_NUM_REQUESTS                           SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         16.489782
NETWORK_NUM_REQUESTS                           SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         16.04984
NETWORK_NUM_REQUESTS                           SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         16.516506
NETWORK_NUM_REQUESTS                           SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         16.466507
NETWORK_NUM_REQUESTS                           SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         16.089788
OPCOUNTER_CMD                                  SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         16.81522
OPCOUNTER_CMD                                  SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         15.606462
OPCOUNTER_CMD                                  SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         15.153184
OPCOUNTER_CMD                                  SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         15.609847
OPCOUNTER_CMD                                  SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         15.569847
OPCOUNTER_CMD                                  SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         15.203132
OPCOUNTER_QUERY                                SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         0.6066545
OPCOUNTER_QUERY                                SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0.17999777
OPCOUNTER_QUERY                                SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0.15666528
OPCOUNTER_QUERY                                SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0.17999828
OPCOUNTER_QUERY                                SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0.17999834
OPCOUNTER_QUERY                                SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0.15666455
OPCOUNTER_UPDATE                               SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         0.03111049
OPCOUNTER_UPDATE                               SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0.13333133
OPCOUNTER_UPDATE                               SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0.1099985
OPCOUNTER_UPDATE                               SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0.12666622
OPCOUNTER_UPDATE                               SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0.11333289
OPCOUNTER_UPDATE                               SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0.119999446
OPCOUNTER_DELETE                               SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         0
OPCOUNTER_DELETE                               SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0
OPCOUNTER_DELETE                               SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0.06999883
OPCOUNTER_DELETE                               SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0.06
OPCOUNTER_DELETE                               SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0.07
OPCOUNTER_DELETE                               SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0.06
OPCOUNTER_GETMORE                              SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         N/A
OPCOUNTER_GETMORE                              SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0.6766574
OPCOUNTER_GETMORE                              SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0.7166587
OPCOUNTER_GETMORE                              SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0.699994
OPCOUNTER_GETMORE                              SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0.689994
OPCOUNTER_GETMORE                              SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0.70665866
OPCOUNTER_INSERT                               SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         0
OPCOUNTER_INSERT                               SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0
OPCOUNTER_INSERT                               SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0
OPCOUNTER_INSERT                               SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0
OPCOUNTER_INSERT                               SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0
OPCOUNTER_INSERT                               SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0
OPCOUNTER_REPL_CMD                             SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         0
OPCOUNTER_REPL_CMD                             SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0
OPCOUNTER_REPL_CMD                             SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0
OPCOUNTER_REPL_CMD                             SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0
OPCOUNTER_REPL_CMD                             SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0
OPCOUNTER_REPL_CMD                             SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0
OPCOUNTER_REPL_UPDATE                          SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         0
OPCOUNTER_REPL_UPDATE                          SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0
OPCOUNTER_REPL_UPDATE                          SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0
OPCOUNTER_REPL_UPDATE                          SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0
OPCOUNTER_REPL_UPDATE                          SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0
OPCOUNTER_REPL_UPDATE                          SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0
OPCOUNTER_REPL_DELETE                          SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         0
OPCOUNTER_REPL_DELETE                          SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0
OPCOUNTER_REPL_DELETE                          SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0
